"Timestamp","career","salary","nation","country","background","years","bioinformatics","position","papers","author","like","dislike","happy","tools","applications","future","question","languages"
07/03/2008 11:12:00,"academia",25000,"europe","europe","bio",3,"Systems Biology","Masters / PhD / Entry Level",3,1,"The area of bioinformatics you work in, Your relationship with your collegues, Flexibility of hours and holidays","The pay",10,"cytoscape,  biolayout,  gostats,","google docs",30,"NA","Perl, Java, R"
07/02/2008 10:56:00,"industry",110000,"europe","europe","bio",7,"Genome analysis, Sequence analysis, Systems Biology, Data and Text Mining","Senior Post doc / Senior Scientist",9,7,"The area of bioinformatics you work in, The work you do day-to-day, Flexibility of hours and holidays","Writing papers",9,"neural network applications, hmm applications","google docs, gmail, google calendar",35,"as an integrated part of biology. not as something particular that one needs a special education for. there'll be fewer programmers in bioinformatics, simply because biologists have become better at programming, and because higher level tools have gotten better (less need for scripting/programming).","Perl, Python"
07/02/2008 10:42:00,"academia",,"europe","europe","bio",0,,"PI / Group Leader / Team Leader","NA","NA","The work you do day-to-day","The work you do day-to-day, Your relationship with your manager/boss, The pay",8,"ana, is oskar here... ,i though this was a questionaire about how people perceive a career in bioinfo...","NA","NA","NA","Python"
07/02/2008 19:48:00,"industry",190000,"north america","north america","NA",7,"Genome analysis, Gene expression, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",2,0,"The area of bioinformatics you work in, The work you do day-to-day, Your relationship with your collegues","Your relationship with your manager/boss",7,"r, see5, cubist, gritbot","google scholar, entrez, crisp",10,"greatly empowered by more powerful and lower-power-usage (less noise and ac) computation","Perl, Java, C/C++, R, gawk, bash"
07/02/2008 20:10:00,"academia",155000,"north america","north america","bio",10,"Genome analysis","PI / Group Leader / Team Leader",45,4,"The area of bioinformatics you work in, Your achievements so far in your career, Your relationship with your collegues","The work you do day-to-day, Your relationship with your manager/boss",8,"NA","ucsc browser, ensembl browser, ensmart, ncbi pubmed, google reader",15,"data integration and visualization","Perl, Java"
07/02/2008 18:38:00,"NA",150000,"north america","north america","bio",23,"Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",15,8,"The area of bioinformatics you work in, The work you do day-to-day, Your achievements so far in your career","Writing papers, Your relationship with your collegues, The aims of the faculty/company you work for",9,"NA","NA","NA","NA","Perl, Java, Python, C/C++"
07/03/2008 18:42:00,"industry",150000,"north america","north america","bio",15,"Structural Bioinformatics","PI / Group Leader / Team Leader",100,50,"The area of bioinformatics you work in, Your achievements so far in your career, Your relationship with your collegues","The work you do day-to-day, Your relationship with your manager/boss, The aims of the faculty/company you work for",8,"hhpred, blast, clustal, pymol","google",10,"bioinformatics will be incorporated into cross-disciplinary work by scientists that will learn to use computational tools and insights as a commonplace part of their experiments, part in silico, part wet bench","Java"
07/02/2008 18:19:00,"industry",140000,"north america","north america","bio",15,"Genome analysis, Sequence analysis, Phylogenetics, Gene expression","PI / Group Leader / Team Leader",50,10,"The work you do day-to-day, The pay, Flexibility of hours and holidays",,10,"NA","NA",10,"NA","Perl, Python"
07/04/2008 08:21:00,"industry",140000,"north america","europe","bio",10,"Genome analysis, Sequence analysis, Gene expression, Systems Biology, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",7,3,"The area of bioinformatics you work in, The work you do day-to-day, Your relationship with your collegues","Your achievements so far in your career, Writing papers, Flexibility of hours and holidays",7,"blast, gcg, ucsc genome browser, ensembl, everything at ncbi, obo, gad, panther, prous integrity, fda, drugbank, meddra","google scholar, ncbi, wikipedia, t-coffee, ensembl, ucsc, swissprot,",20,"data integration, knowledge management, data correlation remain big problems and will continue to be a big challenge since more and more data is being generated. text mining will get better, i hope. more and more modelling will be available as we get more knowledge about pathwayws. we may be able to model simple organisms by then. hopefully most proteins will have a known function, at least in a given context.","Perl, Java, C/C++, R, PHP"
07/03/2008 17:27:00,"industry",135000,"north america","north america","bio",12,"Genome analysis, Sequence analysis, Systems Biology, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",40,10,"The area of bioinformatics you work in, The work you do day-to-day, Your achievements so far in your career","Writing papers",9,"blast,homology modeling","NA","NA","NA","Perl"
07/02/2008 02:29:00,"industry",132000,"north america","north america","bio",15,"Sequence analysis","Senior Post doc / Senior Scientist",10,6,"The work you do day-to-day, Your relationship with your collegues, Flexibility of hours and holidays","The work you do day-to-day",7,"blast, emboss, muscle, company-proprietary tools","wordpress, twitter, company-proprietary applications",11,"bioinformatics will continue to become a much more mathematical/statistical field, working on ever-larger data sets.","Perl, C/C++, R"
07/03/2008 20:19:00,"academia",130000,"north america","north america","bio",10,"Genome analysis, Sequence analysis, Gene expression, Systems Biology, Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",19,10,"The work you do day-to-day, Writing papers, The aims of the faculty/company you work for",,10,"integrated genome browser,r,python,mysql,dbvisualizer,blat","ucsc table browser,ncbi ftp site, ncbi entrez,geo,pubmed,gene ontology,the arabidopsis information resource,distributed annotation servers,ebi interpro soap web service",13,"the field will have merged with biology and all biology pis will understand the basics of information management and statistics. a lot of us will be proficient coders and data analysts and will be doing science at a higher level than our mentors ever dreamed possible. like our mentors, we won't have time to work at the bench doing experiments ourselves. but we won't have to give up the actual daily practice of science because we'll be able to analyze data, interpret results, and plot the next round of bench experiments using bioinformatics to guide us.","Java, Python, R"
07/02/2008 06:09:00,"academia",126000,"europe","europe","chem",9,"Genome analysis, Sequence analysis, Gene expression, Systems Biology, Data and Text Mining, Databases and Ontologies","Senior Post doc / Senior Scientist",59,21,"The work you do day-to-day, Your achievements so far in your career, Your relationship with your manager/boss, Your relationship with your collegues","The pay",9,"blast, mafft, hmmer","google, google mail, google reader, friendfeed, twitter, wordpress, tumblr, picasa, pubmed, sgd, inparanoid, string",35,"i believe that in the future bioinformatics will split into two large sub-fields: ""service"" bioinformatics that deals mainly with infrastructure such as databases, and ""research"" bioinformatics that will be done in mixed wet/dry labs or in collaboration between wet labs and dry labs. i don't think there will be much room for pure, ""dry"" research except in the field of evolution.","Perl, C/C++, R, AWK"
07/01/2008 19:52:00,"academia",125000,"europe","europe","chem",9,"Genome analysis, Sequence analysis, Gene expression, Systems Biology, Data and Text Mining, Databases and Ontologies","Senior Post doc / Senior Scientist",59,26,"The work you do day-to-day, Your achievements so far in your career, Your relationship with your manager/boss, Your relationship with your collegues",,9,"blast, mafft","sgd, ensembl, inparanoid, string, wordpress, friendfeed, google mail, google reader",35,"i expect bioinformatics to move in two directions: ""service"" bioinformatics that will focus mainly on infrastructure and databases (less on algorithms), and ""research"" bioinformatics performed either within mixed experimental/bioinformatics labs or in collaboration between experimental and bioinformatics labs.","Perl, C/C++, R, AWK"
07/04/2008 06:22:00,"industry",122000,"asia","north america","bio",9,"Sequence analysis, Gene expression, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",4,1,"The work you do day-to-day, The pay",,9,"blast,cluster,r,spotfire","NA",5,"in the corporate world, i think bioinformatics will be part of information technology group","Perl, Java, R"
07/03/2008 19:26:00,"government",121000,"north america","north america","bio",8,"Genome analysis, Sequence analysis","PI / Group Leader / Team Leader",35,5,"The area of bioinformatics you work in, The pay, Flexibility of hours and holidays","The work you do day-to-day, Your achievements so far in your career, Writing papers",7,"blast, genome workbench","google",12.5,"hopefully, there will be less data pushing (which is a lot of the work now) and more analysis. analysis and tool development lag well behind data production- hopefully, we'll be getting caught up in 10 years.","Perl"
07/02/2008 04:16:00,"industry",120000,"north america","north america","cs",10,"Genome analysis, Sequence analysis, Genetics and population analysis, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",1,1,"Your achievements so far in your career, The pay, Flexibility of hours and holidays",,10,"blast,mpiblast,","google docs, google visualization api",30,"in the cloud","Perl, Python"
07/02/2008 18:45:00,"academia",120000,"north america","north america","bio",10,"Genome analysis, Sequence analysis, Phylogenetics, Systems Biology","Masters / PhD / Entry Level",79,47,"The area of bioinformatics you work in, The work you do day-to-day, The aims of the faculty/company you work for",,10,"blast, wublast, rmap, eland,  maq, cluster-buster","isi web, ncbi",5,"right where it is now - a gaggle of motivated scientists from many different backgrounds trying to make sense out of too much data.","Perl, Java, Python"
07/02/2008 20:25:00,"academia",120000,"europe","north america","math",20,"Genome analysis, Gene expression, Genetics and population analysis, Databases and Ontologies","PI / Group Leader / Team Leader",130,25,"The work you do day-to-day, Your relationship with your collegues, Flexibility of hours and holidays","Writing papers, Your relationship with your manager/boss",9,"applications written by myself and my students","NA",2,"pretty much nowhere, as the answers and knowledge we need will not come from bioinformatics but from biology and nanophysics",
07/02/2008 18:35:00,"industry",118000,"north america","north america","bio",15,"Gene expression, Systems Biology, Data and Text Mining","PI / Group Leader / Team Leader",19,4,"The work you do day-to-day, The pay, The aims of the faculty/company you work for","Your achievements so far in your career",5,"r, uniprot, cytoscape, ipa, genego metacore, spotfire, entrezgene, uniprot, cosmic, ensembl","NA",10,"less specialists, more end user applications, and more expertise in the general scientific community.","Perl, Python, R"
07/02/2008 18:36:00,"academia",118000,"north america","north america","cs",6,"Phylogenetics, Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",12,10,"Your achievements so far in your career, The aims of the faculty/company you work for, Flexibility of hours and holidays","Writing papers, Your relationship with your manager/boss, Your relationship with your collegues",7,"arraytrack","ms office, wordpress",2,"more integrated into specific disciplines leaving bioinformatists focusing on tool development.","Perl, Java, R"
07/03/2008 19:35:00,"academia",115000,"north america","north america","cs",30,"Systems Biology, Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",10,5,"The area of bioinformatics you work in, The work you do day-to-day, Flexibility of hours and holidays","The pay, The aims of the faculty/company you work for",7,"NA","NA",10,"NA","C/C++"
07/01/2008 19:36:00,"industry",110000,"north america","north america","bio",8,"Genome analysis, Sequence analysis, Genetics and population analysis, Data and Text Mining, Databases and Ontologies","Masters / PhD / Entry Level",9,1,"The area of bioinformatics you work in, Your achievements so far in your career, The pay","Flexibility of hours and holidays",8,"blast,blat,phred,phrap,consed,polyphred,","ucsc genome browser,ncbi,pubmed,google",15,"growing in importance!","Perl"
07/02/2008 19:26:00,"academia",110000,"north america","north america","cs",10,"Genetics and population analysis, Systems Biology, Data and Text Mining","Professor / Senior Managment",50,45,"The area of bioinformatics you work in, Your achievements so far in your career, Your relationship with your collegues","Writing papers, Your relationship with your collegues",9,"pubmed,blast,swissprot","google",30,"hopefully we'll be doing what we are doing now (trying to understand biology and medicine at the molecular level - and to change it where needed at the molecular level) - but using more/better/different data to do it with, and do it on a finer resolution.","Perl, C/C++"
07/02/2008 21:13:00,"industry",107000,"north america","north america","chem",10,"Genome analysis, Sequence analysis","Senior Post doc / Senior Scientist",10,5,"The area of bioinformatics you work in, Writing papers, The pay","The work you do day-to-day, Your relationship with your manager/boss, The aims of the faculty/company you work for","NA","terablast, hmms, smith/waterman, clustalw","google docs, ncbi",15,"the basic functions will be more well-known by life science researchers, and the in-depth parts of the field itself will be quite differentiated.",
07/02/2008 18:18:00,"industry",105000,"north america","north america","bio",7,"Genome analysis, Sequence analysis, Phylogenetics","Senior Post doc / Senior Scientist",13,6,"The area of bioinformatics you work in, The work you do day-to-day, Your achievements so far in your career",,8,"blast, clustalw, mummer,","NA",15,"NA","Perl, C/C++"
07/02/2008 22:03:00,"academia",105000,"north america","north america","bio",5,"Genome analysis, Genetics and population analysis, Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",4,1,"The area of bioinformatics you work in, Your relationship with your collegues, The aims of the faculty/company you work for","The work you do day-to-day",10,"plink, sas, jmp genomics, illumina beadstudio, affymetrix power tools","webx, ms sharepoint (not that i like it), linkedin, xythos wfs",13,"on equal footing with wet lab work - we are hiring nearly as many people on the informatics side now as we are in the lab and the demands are ever-increasing!  but i think it will be hard for the field to grow because there are so few people who can really understand (and, therefore, do) the work well, and competition for the few actual ""bioinformatics"" graduates is intense - at least for the good ones...","Perl, Java, R"
07/02/2008 19:28:00,"academia",104000,"north america","north america","chem",8,"Gene expression, Systems Biology, Databases and Ontologies","Professor / Senior Managment",23,18,"The work you do day-to-day, Your relationship with your collegues, The aims of the faculty/company you work for","Writing papers",8,"sequence and genome analysis tools and databases, and some of the tools in the bioconductor/r packages.","plone (you seem to be suggesting applications that use the web for communication rather than those applications that have a web interface such as the many ebi and ncbi applications aimed at genomic research).",20,"having a stronger grounding as a hypothesis testing scientific discipline, with much of the purely engineering aspects spawned off in a biotechnology-equivalent arena (or software information systems versus computer science, if you are from that domain).","Python, R, SQL and PL/SQL"
07/02/2008 21:17:00,"industry",104000,"europe","north america","bio",2.5,"Genome analysis, Sequence analysis, Systems Biology, Data and Text Mining, Databases and Ontologies","Senior Post doc / Senior Scientist",8,2,"The area of bioinformatics you work in, Your relationship with your collegues, The aims of the faculty/company you work for","The work you do day-to-day, Your achievements so far in your career, Writing papers",8,"proteomics search engines in general, mascot server, mascot distiller, mascot integra, trans proteomic pipeline, blast, fasta, kegg, go, entrez, bioperl","NA",30,"becoming more important, more integrated, more black box, more complex and more commercialized. i think bio labs will still need someone how can write scripts for them but the main tools will be integrated and will work seamlessly. i don't think academic research labs will be happy paying out >$50000 per a software package but the ones that do will have the opportunity to move ahead of the competition because they can organize their data and mine it.    open source has a potentially big part to play and it will be interesting to see if they can put together applications that are easy to install, configure and use as well as being ""free"" to the end user.   i don't know where proteomics comes under the ""which fields of bioinformatics do you currently work in?"" question so i ticked all relevant boxes.","Perl, Java"
07/03/2008 21:47:00,"industry",104000,"north america","north america","bio",10,"Genome analysis, Gene expression, Genetics and population analysis, Systems Biology, Data and Text Mining, Databases and Ontologies","Senior Post doc / Senior Scientist",4,4,"The area of bioinformatics you work in, The pay, Flexibility of hours and holidays","Your relationship with your manager/boss, The aims of the faculty/company you work for",6,"blast, hmmer, phrap, clustal, bioperl","linkedin, facebook,",20,"NA","Perl, R"
07/02/2008 18:23:00,"academia",102000,"north america","north america","cs",8,"Gene expression, Data and Text Mining","Senior Post doc / Senior Scientist",34,2,"The work you do day-to-day, Your achievements so far in your career, The aims of the faculty/company you work for","Your relationship with your manager/boss, The pay",9,"genepattern","google docs",20,"more mature as a field but maybe considered more as a specialty in biology rather than it's own special area","Perl, Java, Python, R, Matlab"
07/01/2008 19:43:00,"industry",100000,"europe","europe","bio",17,"Sequence analysis, Gene expression","PI / Group Leader / Team Leader",110,25,"The area of bioinformatics you work in, The work you do day-to-day, Flexibility of hours and holidays","Your achievements so far in your career, The aims of the faculty/company you work for",8,"blast, pftools, hmmer, hhsearch, mafft, muscle, dotter, boxshade, gde, tmpred","wordpress, pubmed, blast, hhpred, ihop",25,"not much away from where it is now. other data sources will be used, but the fundamental questions stay the same.","Perl"
07/02/2008 18:56:00,"academia",100000,"asia","north america","bio",5,"Data and Text Mining, Databases and Ontologies","Post Doc / Research Scientist",20,8,"The area of bioinformatics you work in, The aims of the faculty/company you work for, Flexibility of hours and holidays",,8,"protege","google docs, dokuwiki",10,"NA","Perl"
07/02/2008 19:45:00,"academia",100000,"asia","north america","cs",10,"Genome analysis, Sequence analysis, Gene expression","Professor / Senior Managment",25,20,"The area of bioinformatics you work in, The work you do day-to-day, Your achievements so far in your career",,10,"NA","NA",40,"NA","Perl, C/C++, R"
07/03/2008 01:33:00,"industry",100000,"oceana","asia","cs",6,"Sequence analysis","Senior Post doc / Senior Scientist",1,0,"The area of bioinformatics you work in, The work you do day-to-day, Your achievements so far in your career, Your relationship with your collegues","Your relationship with your manager/boss, The aims of the faculty/company you work for, Flexibility of hours and holidays",6,"NA","NA",6,"NA","C/C++"
07/02/2008 18:22:00,"academia",95000,"europe","north america","NA",15,"Genome analysis, Sequence analysis, Phylogenetics, Gene expression, Systems Biology","Senior Post doc / Senior Scientist",40,21,"The area of bioinformatics you work in, The work you do day-to-day, The aims of the faculty/company you work for","Your achievements so far in your career, Your relationship with your collegues, The pay",10,"ensembl browser,  ucsc browser, pubmed, pogvue (genome visualization), r","google,wikipedia",25,"from a genome point of view the new sequencing technologies will allow us to sequence practically anything we like for minimal cost.  this means 1000's of new genomes, different species, different strains of species,   population sampling of species,  species that interact with other species etc.  additionally, as epigenomics grows in importance in understanding gene regulation many different states of cells can also be investigated through sequencing - their open chromatin regions,  regions of histone modification, methylated regions and regions that bind proteins to name a few.  all very exciting stuff and one thing's for certain - we're all going to need bigger hard drives :)","Perl, Java, C/C++"
07/02/2008 19:16:00,"academia",91000,"north america","north america","bio",12,"Sequence analysis, Genetics and population analysis, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",10,0,"The area of bioinformatics you work in, Your achievements so far in your career, Your relationship with your collegues","Writing papers",9,"progeny, partek, wasp, plink, in house built apps","basecamp, google docs","NA","analysis of full sequence on everyone in the us.  very large genetics studies.  more people involved and employed.","Perl, Ruby, C/C++"
07/02/2008 18:18:00,"academia",90000,"north america","north america","bio",10,"Genome analysis, Sequence analysis, Phylogenetics, Gene expression","PI / Group Leader / Team Leader",20,8,"The work you do day-to-day, Your relationship with your collegues, The aims of the faculty/company you work for","Your relationship with your manager/boss, The pay",8,"blast, ucsc genome browser (and table browser), arrayassist, clustal, r","blast, ucsc genome browser (and table browser), clustal@ebi","NA","same as now","Perl, R, unix shell"
07/02/2008 23:28:00,"academia",90000,"europe","oceana","bio",15,"Sequence analysis","Professor / Senior Managment",17,5,"The area of bioinformatics you work in, Your relationship with your collegues, Flexibility of hours and holidays","The work you do day-to-day, Writing papers, The pay",8,"blast, emboss","wordpress",10,"NA","Perl, R"
07/03/2008 07:01:00,"academia",90000,"oceana","oceana","cs",6,"Genome analysis, Sequence analysis, Phylogenetics, Structural Bioinformatics, Gene expression, Genetics and population analysis, Systems Biology, Data and Text Mining, Databases and Ontologies","Senior Post doc / Senior Scientist",10,1,"The work you do day-to-day, Your relationship with your collegues, Flexibility of hours and holidays","The work you do day-to-day, Writing papers",9,"blast, mummer, artemis, blat, hmmer, velvet, phrep/phrad/consed, sequin, emboss, meme/mast, glimmer, act, signalp, lipop, psortb, trnascan, probcons, clustalw, t_coffee, fasta/ssearch/glsearch, hawkeye, amos, tmpred","wordpress, google reader, gmail, twiki, b2evolution, phpbb",25,"much the same as it is right now, but with huger data sets, more standards compliance, and more complex systems to analyse.","Perl, Python, C/C++, Bash"
07/03/2008 07:59:00,"industry",90000,"NA","europe","bio",7,"Genome analysis, Sequence analysis, Gene expression, Data and Text Mining","Senior Post doc / Senior Scientist",2,0,"The work you do day-to-day, Your relationship with your collegues, Flexibility of hours and holidays","Your achievements so far in your career, The pay",8,"mat, macs, chipinspector, bibliosphere, eldorado","ensembl, geo, arrayexpress, genbank",20,"i sincerely hope that there will be less hype and more standards","Perl, Java, Lisp"
07/02/2008 12:26:00,"industry",87000,"europe","europe","bio",3,"Data and Text Mining","Senior Post doc / Senior Scientist",1,0,"The area of bioinformatics you work in, The work you do day-to-day, Your achievements so far in your career, The pay, Flexibility of hours and holidays","Your relationship with your collegues, The aims of the faculty/company you work for",7,"NA","google docs, twitter, del.icio.us, gmail, google reader",30,"we will all be busy either creating ontologies or shoe-horning our data and models into them","Python, R"
07/03/2008 06:48:00,"industry",85000,"europe","north america","bio",3,"Genome analysis, Gene expression","Post Doc / Research Scientist",9,6,"The area of bioinformatics you work in, Your relationship with your collegues, Flexibility of hours and holidays","Writing papers",9,"my own tools,,ucsc genome browser","gmail",50,"hopefully just like me: ten years older!","awk"
07/01/2008 19:02:00,"industry",84000,"north america","north america","cs",7,"Systems Biology","Masters / PhD / Entry Level",4,1,"The area of bioinformatics you work in, The work you do day-to-day, Flexibility of hours and holidays","Writing papers",9,"NA","bloglines, zotero, firebug",17.5,"specialized service in the same way biostats folks are utilized now.","Perl, Java, Ruby, Lisp, Matlab"
07/01/2008 18:20:00,"academia",82000,"europe","europe","bio",7,"Gene expression, Systems Biology","PI / Group Leader / Team Leader",7,1,"Your relationship with your collegues, The pay, Flexibility of hours and holidays","The work you do day-to-day, Your achievements so far in your career, Writing papers",8,"bioconductor, genespring, taverna, cytoscape","twitter, wordpress, friendfeed, facebook, google reader, google mail, google docs, dokuwiki, drupal",30,"largely in a supporting role for biologists still unsure what to do with all the data they are hell bent on generating but who are confident that they need more of it regardless.","Perl, Java, R"
07/02/2008 18:45:00,"industry",82000,"north america","north america","bio",12,"Sequence analysis, Gene expression, Systems Biology, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",4,0,"The area of bioinformatics you work in, Flexibility of hours and holidays","The aims of the faculty/company you work for",6,"blast,hmmer,repeatmasker,sim4,psort,oracle,sybase,mysql","none that are publically available",0,"NA","Perl, Java, C/C++, R, Matlab"
07/01/2008 18:10:00,"academia",80000,"europe","europe","bio",10,"Genome analysis, Sequence analysis, Genetics and population analysis, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",10,5,"The area of bioinformatics you work in, The work you do day-to-day, The aims of the faculty/company you work for","Writing papers, Your relationship with your collegues, The pay",9,"blast, pfam, genbank, maq","twitter, friendfeed, gmail, google calendar, flickr",10,"large scale!","Perl, Java, Python, Ruby, C/C++"
07/02/2008 18:43:00,"industry",80000,"north america","north america","eng",5,"Gene expression, Data and Text Mining","PI / Group Leader / Team Leader",0,0,"The area of bioinformatics you work in, The work you do day-to-day, The aims of the faculty/company you work for","Your achievements so far in your career, Writing papers, Your relationship with your manager/boss",10,"batchmatch, ramp","none",10,"this is an area definitely not for  statisticians. the problems are  just not statistics problems.  it is for people with  serious quantitative skill, like the people  work for web data analytics company such as google or quants for wall street.","Matlab"
07/02/2008 18:47:00,"academia",80000,"north america","north america","NA",6,"Genome analysis, Systems Biology","Masters / PhD / Entry Level",7,4,"The area of bioinformatics you work in, Your relationship with your collegues, The aims of the faculty/company you work for",,9,"proteomics software (inspect), blast, pfam, kegg","google scholar, sgd, tair",30,"same.  big science, trying to solve medical problems, but never quite there","Python, C/C++"
07/02/2008 20:40:00,"academia",80000,"asia","north america","bio",8,"Genome analysis, Sequence analysis, Structural Bioinformatics, Gene expression, Genetics and population analysis, Systems Biology, Databases and Ontologies","Masters / PhD / Entry Level",2,12,"The area of bioinformatics you work in, The work you do day-to-day, Flexibility of hours and holidays","Writing papers, The pay",8,"blast","NA",20,"it will be a part of basic science research.","Java"
07/02/2008 05:18:00,"academia",78000,"north america","north america","bio",10,"Genome analysis, Sequence analysis, Phylogenetics","Senior Post doc / Senior Scientist",11,5,"The area of bioinformatics you work in, Your achievements so far in your career, Your relationship with your collegues","Your relationship with your manager/boss",8,"blast, mummer, phylip, paup, muscle","google docs",30,"bioinformaticians will be the the favored servants of post-singularity artificial intelligences and will survive the mass death dealt to the majority of humanity. all hail our cybernetic masters!","Ruby, R"
07/03/2008 03:29:00,"industry",76000,"north america","oceana","bio",15,"Gene expression, Genetics and population analysis, Databases and Ontologies","Professor / Senior Managment","NA","NA","The area of bioinformatics you work in, The work you do day-to-day, Your relationship with your collegues","Your achievements so far in your career, The aims of the faculty/company you work for, Flexibility of hours and holidays",9,"r/bioconductor","google mail",10,"much more statistical; data analysis will become the central task and data-shuffling is left to it. also, possibly more numerical-analysis as sufficient data are acquired that modelling whole systems becomes possible, perhaps via differential equations (eg weather forecasts).","Perl, C/C++, R"
